cell_type,tf,score,padj
CD4T,PHF21A,2.565419181352378,0.01882515746337114
CD4T,PLAG1,-3.472096621139014,0.0012868255560029068
CD4T,POU2F2,4.075950181098184,0.000150132076391636
CD4T,PRDM1,15.049642694342861,5.568332609734862e-47
CD4T,PRDM2,-2.2771855851009266,0.038444853450067366
CD4T,RARA,8.0678907111954,1.2450336633397836e-14
CD4T,RARG,3.798555197881851,0.000420804927518463
CD4T,RBPJ,6.561541390289811,5.124107949482008e-10
CD4T,REL,-0.601697397280365,0.624333764409545
CD4T,RELA,1.8221062585868253,0.10492758442476746
CD4T,RELB,3.7088589103471596,0.0005692595303256623
CD4T,REST,-2.685453513269882,0.014122692077267907
CD4T,RFX3,-1.761371082045506,0.11718347059081788
CD4T,RLF,-3.162195685601179,0.0036603154865866463
CD4T,RORA,4.816741358254284,6.180929598266868e-06
CD4T,RORC,1.6047271941901056,0.15434385189839014
CD4T,RREB1,-0.6005675447641311,0.624333764409545
CD4T,RUNX1,-3.395298635245329,0.0016853703449604541
CD4T,RUNX2,4.835963247961824,5.728889610602565e-06
CD4T,RUNX3,5.649759172030249,9.643687785456791e-08
CD4T,SAFB,-2.1563364202798843,0.05153968554622524
CD4T,SAFB2,-0.232780911506383,0.8520460029001966
CD4T,SATB1,-8.671017323825037,9.320014755777027e-17
CD4T,SKI,0.29524989741477914,0.8155742947597558
CD4T,SKIL,-3.6452033814511857,0.0007108554689609848
CD4T,SMAD3,6.287028286645896,2.702629467666236e-09
CD4T,SMAD5,5.863453591629786,3.239651535895538e-08
CD4T,SNAI3,5.0749222182827785,1.8458691099009286e-06
CD4T,SOX13,3.736114266867458,0.0005321038817958021
CD4T,SOX4,-9.797726971016242,4.8705059858008246e-21
CD4T,SP110,-0.5840456280586714,0.6334102364048221
CD4T,SP140L,-1.7580858653524436,0.11718347059081788
