cell_type,gene,clock_coef,signed_coef,pooled_rho
CD8T,CRELD2,-0.06416419766666644,0.06416419766666644,0.2453081114092238
CD8T,PIM3,0.0980086901907224,0.0980086901907224,0.1203875561054767
CD8T,DENND6B,-0.05779319809569709,-0.05779319809569709,-0.184732581239263
CD8T,CD99,-0.22112107724634342,0.22112107724634342,0.4637015965748189
CD8T,TBL1X,-0.055115007476927345,-0.055115007476927345,-0.1196753806488694
CD8T,MSL3,-0.2540533530695377,-0.2540533530695377,-0.3130078102965389
CD8T,TMSB4X,-0.050530675406103356,0.050530675406103356,0.4403142674777434
CD8T,RAB9A,0.04422677003210732,0.04422677003210732,0.4002103968868692
CD8T,OFD1,0.020290576133586542,0.020290576133586542,0.1749255298678576
CD8T,TXLNG,-0.008168334239854066,-0.008168334239854066,-0.1177124192157856
CD8T,RBBP7,0.27814626395591463,0.27814626395591463,0.2309083883420857
CD8T,SCML1,-0.05584538527810112,-0.05584538527810112,-0.4890521521407132
CD8T,SH3KBP1,-0.13275393777618855,0.13275393777618855,0.2799652579367206
CD8T,EIF1AX,0.04730643600975883,-0.04730643600975883,-0.1110640120454663
CD8T,CNKSR2,-0.21081946898624562,-0.21081946898624562,-0.4078744989964644
CD8T,SMS,0.06129256658126919,0.06129256658126919,0.2649656967757232
CD8T,ACOT9,-0.13593862185765324,0.13593862185765324,0.3026259045938538
CD8T,SAT1,0.10771052021263097,0.10771052021263097,0.3597251477329017
CD8T,EIF2S3,0.08533836486248372,-0.08533836486248372,-0.3552203741901815
CD8T,LANCL3,-0.003928579085396821,0.003928579085396821,0.149790185334217
CD8T,ATP6AP2,-0.03751681567233412,0.03751681567233412,0.3568977969166049
CD8T,USP11,0.00734150748382288,-0.00734150748382288,-0.1324413478939034
CD8T,TIMP1,0.020975433930142187,0.020975433930142187,0.2889884929520459
CD8T,CFP,0.3224547478907038,-0.3224547478907038,-0.2849735948196766
CD8T,UXT,0.024590646860457907,-0.024590646860457907,-0.3903263540044485
CD8T,EBP,0.04443283612194277,0.04443283612194277,0.4402200244172687
CD8T,TBC1D25,-0.08206941877511217,0.08206941877511217,0.2534514093284299
CD8T,WAS,-0.050311957849070096,0.050311957849070096,0.3341652227529055
CD8T,PCSK1N,0.42887901127660144,-0.42887901127660144,-0.1235608739493935
CD8T,WDR45,-0.09532985265787282,0.09532985265787282,0.365153122280144
CD8T,GPKOW,-0.00941326237736246,0.00941326237736246,0.2684645486949804
CD8T,PLP2,0.08003290816847207,0.08003290816847207,0.1455713817651568
CD8T,PPP1R3F,-0.07563640437314315,-0.07563640437314315,-0.1990249613567151
CD8T,TSPYL2,-0.031214682263443524,-0.031214682263443524,-0.1550273079666734
CD8T,HSD17B10,0.0018999510242950668,0.0018999510242950668,0.295888723347859
CD8T,MAGEH1,-0.187239928977806,-0.187239928977806,-0.1480652117473582
CD8T,USP51,-0.08167338193103973,-0.08167338193103973,-0.2506278131041656
CD8T,SPIN3,-0.11877148816831791,-0.11877148816831791,-0.1973478746159656
CD8T,MSN,-0.04280707043266464,0.04280707043266464,0.3420231479520355
CD8T,DLG3,0.057113895280019006,0.057113895280019006,0.2633184962101005
CD8T,IL2RG,-0.016392740960921068,0.016392740960921068,0.4305775729435853
CD8T,NONO,-0.004275038551634014,-0.004275038551634014,-0.1331845158657623
CD8T,OGT,-0.05433528837550866,-0.05433528837550866,-0.1489456304667559
CD8T,CXCR3,-0.12258254449928328,0.12258254449928328,0.2182537227712487
CD8T,RPS4X,0.029400343897469358,-0.029400343897469358,-0.1993188552262884
CD8T,RLIM,0.01364979057711486,-0.01364979057711486,-0.1542631667725857
CD8T,COX7B,-0.0016817626131954751,0.0016817626131954751,0.2983997955895028
CD8T,PGK1,0.006722402756817369,0.006722402756817369,0.1375340238764595
CD8T,ITM2A,0.09421199045557198,0.09421199045557198,0.2065350157529088
CD8T,SH3BGRL,0.215456101866521,0.215456101866521,0.3885072180343378
CD8T,DIAPH2,0.050678236214379016,0.050678236214379016,0.2544362453885279
CD8T,RPL36A,-0.03838804047112326,-0.03838804047112326,-0.2377620909360581
CD8T,ARMCX4,0.22483260596480914,-0.22483260596480914,-0.124033388085191
CD8T,ARMCX1,0.0579186104473966,-0.0579186104473966,-0.3034440757379285
CD8T,ARMCX2,-0.0627423832835549,-0.0627423832835549,-0.2511452847122639
CD8T,ZMAT1,0.019541893640932482,-0.019541893640932482,-0.2361256434996491
CD8T,GPRASP1,-0.04163010681248222,-0.04163010681248222,-0.2915955355685235
CD8T,BEX4,0.10270592647047094,-0.10270592647047094,-0.2740095356588459
CD8T,BEX2,0.09446171959515688,-0.09446171959515688,-0.2916610802500344
CD8T,BEX3,-0.0462484539594472,-0.0462484539594472,-0.3727698489366582
CD8T,VSIG1,0.07774520909959212,-0.07774520909959212,-0.2622613121404551
CD8T,ALG13,0.08399914270273391,-0.08399914270273391,-0.1086941712357347
CD8T,UBE2A,0.0041635766464694895,0.0041635766464694895,0.3585765132854327
CD8T,SEPTIN6,-0.10869578953394866,-0.10869578953394866,-0.266407450211054
CD8T,RPL39,-0.06904839657332498,-0.06904839657332498,-0.3384782297139943
CD8T,NDUFA1,-0.030098841217470668,0.030098841217470668,0.3220406613835295
CD8T,MCTS1,0.07543627604874208,0.07543627604874208,0.1405967151761534
CD8T,SH2D1A,0.07880718223231988,0.07880718223231988,0.3850759308918822
CD8T,XPNPEP2,-0.15998556762634428,0.15998556762634428,0.2018428487261064
CD8T,SASH3,-0.06311699457918332,0.06311699457918332,0.2939214380245004
CD8T,CD40LG,-0.09719447841286755,0.09719447841286755,0.1332663628779455
CD8T,RBMX,-0.014142994678534495,-0.014142994678534495,-0.2294454065384056
CD8T,IDS,0.238472983247233,0.238472983247233,0.3085071729351215
CD8T,MTM1,-0.021769274085141833,-0.021769274085141833,-0.1154733015575611
CD8T,BCAP31,-0.06527983519333326,0.06527983519333326,0.4256408056089188
CD8T,SSR4,0.13308082592394208,0.13308082592394208,0.3877884599075569
CD8T,PDZD4,-0.14699084701531467,0.14699084701531467,0.3150615571226862
CD8T,NAA10,-0.1765495843557839,0.1765495843557839,0.2230694002563442
CD8T,MECP2,-0.00659172751390273,0.00659172751390273,0.2177093854014511
CD8T,FLNA,0.08587093993631162,0.08587093993631162,0.3773175698058291
CD8T,RPL10,-0.0088358473290075,-0.0088358473290075,-0.3378990917600798
CD8T,ATP6AP1,-0.008920280056702761,0.008920280056702761,0.3260221644750312
CD8T,GDI1,-0.0657099523088672,0.0657099523088672,0.177249066438834
CD8T,FAM50A,0.018020515304813335,0.018020515304813335,0.2606097286197832
CD8T,SLC10A3,0.07121871117622318,0.07121871117622318,0.3680880128414641
CD8T,FAM3A,0.02100486298108415,-0.02100486298108415,-0.132255228899314
CD8T,G6PD,0.005781775385762102,0.005781775385762102,0.3123344338558455
CD8T,IKBKG,-0.03486338378047342,0.03486338378047342,0.3697423069260039
CD8T,GAB3,0.034792684538785375,0.034792684538785375,0.3386211542081557
CD4T,TNFRSF18,-0.18982419623793675,0.18982419623793675,0.1582447402659249
CD4T,TNFRSF4,-0.3099522010119713,0.3099522010119713,0.2534412240900736
CD4T,AURKAIP1,-0.11678992338211379,0.11678992338211379,0.1942218890185079
CD4T,CCNL2,0.19467116935487833,-0.19467116935487833,-0.1397806557851115
CD4T,SSU72,0.08011813633649173,0.08011813633649173,0.109364662022788
CD4T,CDK11B,0.11083567389451345,-0.11083567389451345,-0.1106390221386781
CD4T,CDK11A,0.05126001614321535,-0.05126001614321535,-0.105859249780154
CD4T,RER1,0.0798716960717986,0.0798716960717986,0.19325257977814
CD4T,RPL22,-0.09684187779918509,-0.09684187779918509,-0.2499326790193698
CD4T,NOL9,0.0828625911064436,-0.0828625911064436,-0.1580183840433052
CD4T,CAMTA1,-0.11938048193732671,0.11938048193732671,0.1420404513813284
CD4T,UTS2,0.2514372517001701,0.2514372517001701,0.1864220098706856
CD4T,PARK7,-0.20384932201347694,0.20384932201347694,0.1867488555803566
CD4T,RERE,-0.03301457271583856,-0.03301457271583856,-0.1560157326601148
CD4T,ENO1,-0.09820895805469662,0.09820895805469662,0.1777652682922369
CD4T,CA6,0.06352298161603478,0.06352298161603478,0.1289246793936256
CD4T,SLC25A33,-0.1808616139293794,-0.1808616139293794,-0.2138394161814768
CD4T,PIK3CD,0.017032053936709944,-0.017032053936709944,-0.1974920874325385
CD4T,FBXO6,0.07758208220443742,0.07758208220443742,0.1148545844363909
CD4T,TNFRSF1B,-0.03212303755536887,0.03212303755536887,0.1381698438923431
CD4T,SPEN,-0.028586129605150563,-0.028586129605150563,-0.1453927804825097
CD4T,SDHB,-0.0405117005991294,0.0405117005991294,0.1428479495304162
CD4T,PADI4,-0.0836752512562238,-0.0836752512562238,-0.1869711926674138
CD4T,UBR4,0.13063954054576027,-0.13063954054576027,-0.1414908522060049
CD4T,MICOS10,-0.06430192734023507,0.06430192734023507,0.1752088118355227
CD4T,CAMK2N1,-0.09898983912779649,0.09898983912779649,0.1559058024241881
CD4T,DDOST,0.025737453939303337,0.025737453939303337,0.1355265385609047
CD4T,ZBTB40,0.01975050114012654,-0.01975050114012654,-0.1361844536313962
CD4T,LUZP1,-0.08084015674390008,-0.08084015674390008,-0.1039038041978835
CD4T,SRSF10,-0.052107738384104665,-0.052107738384104665,-0.196378175653009
CD4T,RCAN3,0.05570582686359654,-0.05570582686359654,-0.2032016302354989
CD4T,TMEM50A,0.025550151366775093,0.025550151366775093,0.2403753730367538
CD4T,MACO1,0.10280512614256564,-0.10280512614256564,-0.1342304421343051
CD4T,LDLRAP1,-0.008466602063804023,-0.008466602063804023,-0.117143634623811
CD4T,MAN1C1,0.1405753485314073,-0.1405753485314073,-0.1016555219490893
CD4T,SH3BGRL3,0.06315454171153714,0.06315454171153714,0.3481838731432611
CD4T,UBXN11,0.059255443738734453,0.059255443738734453,0.2513121249253945
CD4T,CD52,-0.25808233926296975,0.25808233926296975,0.1783444628081671
CD4T,ARID1A,0.04314965351154948,-0.04314965351154948,-0.140530971406305
CD4T,WASF2,0.11131427316992401,-0.11131427316992401,-0.2017708845348141
CD4T,IFI6,-0.1347920659840709,-0.1347920659840709,-0.1107174465313672
CD4T,ATP5IF1,0.05186111178094093,0.05186111178094093,0.114827614660972
CD4T,TAF12,-0.07916622167428329,0.07916622167428329,0.1516651661742913
CD4T,EPB41,-0.2901027903228796,-0.2901027903228796,-0.325373507752331
CD4T,LAPTM5,-0.06686085217176471,-0.06686085217176471,-0.1226886094775636
CD4T,PUM1,0.10016785887560059,-0.10016785887560059,-0.176892831994307
CD4T,MARCKSL1,-0.26412412192219054,-0.26412412192219054,-0.247864075519335
CD4T,ZBTB8OS,0.12706429604827657,0.12706429604827657,0.1491778602642557
CD4T,TMEM35B,0.10966328338885434,0.10966328338885434,0.1052234960921732
CD4T,SFPQ,0.11991492892472475,-0.11991492892472475,-0.1566680869615262
CD4T,ZMYM4,-0.1898054521548484,-0.1898054521548484,-0.1557708686534436
CD4T,KIAA0319L,-0.021695101576326523,-0.021695101576326523,-0.1594491304589578
CD4T,PSMB2,0.06366104264800271,0.06366104264800271,0.2411950361071962
CD4T,AGO3,0.014622822094093673,-0.014622822094093673,-0.1450662478140074
CD4T,TRAPPC3,0.024847930017010314,0.024847930017010314,0.1149942309422096
CD4T,LSM10,0.03891491526956476,0.03891491526956476,0.1539636316213689
CD4T,MEAF6,-0.1730983532150756,0.1730983532150756,0.1570857249942309
CD4T,RRAGC,0.23966128827012784,0.23966128827012784,0.1100462050249115
CD4T,AKIRIN1,-0.138249323776999,-0.138249323776999,-0.1403813896004836
