gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
ZBTB18,7.978655452830257e-19,-0.47271482461630343,313,9.142523098388442e-18,healthy,aging,abf300,CD8T
ZBTB2,1.1732867249530011e-17,0.45827027880889,313,4.96705991331632e-17,healthy,aging,abf300,CD8T
ZBTB20,2.7259902275613555e-15,-0.42684917851397175,313,4.820225354767222e-15,healthy,aging,abf300,CD8T
ZBTB21,0.003948468077845429,-0.1624805393815165,313,0.004213212106053456,healthy,aging,abf300,CD8T
ZBTB24,0.0002879851022359892,-0.20361021748574287,313,0.00031763901375335836,healthy,aging,abf300,CD8T
ZBTB25,7.806889525498682e-16,-0.43435242687069886,313,1.5663888790833468e-15,healthy,aging,abf300,CD8T
ZBTB33,4.9475837867182e-16,0.43704376262759864,313,1.0478131061604706e-15,healthy,aging,abf300,CD8T
ZBTB37,1.5569582998706259e-18,0.4691687206230123,313,1.453671468521087e-17,healthy,aging,abf300,CD8T
ZBTB38,2.3310915827368605e-18,0.46701623921802127,313,1.9054651352199445e-17,healthy,aging,abf300,CD8T
ZBTB4,4.135608793931371e-13,-0.39467489567414077,313,5.817005157878217e-13,healthy,aging,abf300,CD8T
ZBTB40,0.0006862535815770188,0.1908936071010139,313,0.0007494965587027441,healthy,aging,abf300,CD8T
ZBTB43,1.5098502929856127e-18,0.46933215810352213,313,1.453671468521087e-17,healthy,aging,abf300,CD8T
ZBTB44,3.989820268290087e-14,0.4100875394199998,313,6.055393276396672e-14,healthy,aging,abf300,CD8T
ZBTB49,3.146081928327721e-19,0.4776404583852041,313,5.1414170729652746e-18,healthy,aging,abf300,CD8T
ZBTB7A,1.2869799711960323e-15,0.4313751244562841,313,2.446560661966519e-15,healthy,aging,abf300,CD8T
ZBTB7B,2.109953254748376e-17,0.45503597829638004,313,7.076427487318347e-17,healthy,aging,abf300,CD8T
ZC3H8,2.0781340535401888e-17,-0.4551201437055049,313,7.076427487318347e-17,healthy,aging,abf300,CD8T
ZEB1,2.964084987601159e-14,-0.4119904606002602,313,4.548194989239244e-14,healthy,aging,abf300,CD8T
ZEB2,4.45579714173547e-16,0.43765817011421015,313,9.582329374311416e-16,healthy,aging,abf300,CD8T
ZFP14,3.624207188638656e-16,-0.4388668245359452,313,7.978765628742021e-16,healthy,aging,abf300,CD8T
ZFP62,2.0691428277831243e-13,-0.39932278359292944,313,2.970393039626805e-13,healthy,aging,abf300,CD8T
ZFP90,2.1261502257478315e-14,0.4141037953033327,313,3.364389541879381e-14,healthy,aging,abf300,CD8T
ZFP91,2.300096185596593e-16,0.4415104013165043,313,5.337907814072092e-16,healthy,aging,abf300,CD8T
ZFX,9.834121117485037e-18,0.4592368108792588,313,4.3776283699513324e-17,healthy,aging,abf300,CD8T
ZGPAT,1.2190830716474196e-17,0.45806025675309703,313,5.047157080607228e-17,healthy,aging,abf300,CD8T
ZHX1,1.235895647757269e-17,0.45798509508541346,313,5.047157080607228e-17,healthy,aging,abf300,CD8T
ZHX2,0.7265302047780675,0.019846203471643533,313,0.7331110943141007,healthy,aging,abf300,CD8T
ZKSCAN1,3.2121401313539553e-12,-0.380472276484584,313,4.290556469050727e-12,healthy,aging,abf300,CD8T
ZKSCAN8,0.30428470045810707,-0.058249509520752994,313,0.31098454707369844,healthy,aging,abf300,CD8T
ZMAT1,3.6919646359704704e-17,-0.4519210752247216,313,1.1053050012019097e-16,healthy,aging,abf300,CD8T
ZNF10,5.232853986712576e-18,-0.46266782356890945,313,2.8456672621028266e-17,healthy,aging,abf300,CD8T
ZNF100,6.454114041096849e-12,0.3754767658527587,313,8.559384560287964e-12,healthy,aging,abf300,CD8T
ZNF101,1.1244729347285425e-17,-0.45850320168530534,313,4.8136494203369087e-17,healthy,aging,abf300,CD8T
ZNF107,1.5595094693034107e-12,-0.38555704159678345,313,2.1342672452874684e-12,healthy,aging,abf300,CD8T
ZNF12,1.2598839217896162e-07,0.29328200170247165,313,1.496280052103967e-07,healthy,aging,abf300,CD8T
ZNF121,0.0010923459512004689,0.18374346199559213,313,0.0011860364421416396,healthy,aging,abf300,CD8T
ZNF124,0.0006336520490449592,-0.19209501938289397,313,0.0006934070556346608,healthy,aging,abf300,CD8T
ZNF131,7.317293492075386e-05,-0.22223582679156625,313,8.200668963955713e-05,healthy,aging,abf300,CD8T
ZNF134,1.297086681779494e-13,-0.40241674317906145,313,1.8814511095082763e-13,healthy,aging,abf300,CD8T
ZNF138,8.336006556076193e-16,-0.43396350438713815,313,1.6406713610369043e-15,healthy,aging,abf300,CD8T
