"gene","meta_p","meta_p_adj"
"HSF1",2.06839961269838e-46,2.64242794558027e-46
"HSF2",5.26414652572215e-62,2.93212961482724e-59
"IKZF1",4.93373351235289e-57,2.66804812269957e-56
"IKZF2",1.09138312161823e-55,2.88104454379789e-55
"IKZF3",5.78069252814408e-57,2.94806621853372e-56
"IKZF5",4.90471358609185e-32,5.72730705965023e-32
"IRF1",3.24636350367571e-56,1.04521645754183e-55
"IRF2",1.7814552021177e-56,6.70453072688892e-56
"IRF3",3.31117997165427e-55,7.52786630290378e-55
"IRF4",8.71321089350402e-54,1.57063380831124e-53
"IRF5",6.68190046066722e-58,6.20303092765274e-57
"IRF7",7.58656707357663e-56,2.07143032352068e-55
"IRF8",9.06208834842503e-54,1.62825264841056e-53
"IRF9",9.1867109274095e-56,2.46009518584956e-55
"JAZF1",5.51002831863554e-55,1.18956812925581e-54
"JUN",9.03135754445768e-15,9.76789544128724e-15
"JUNB",1.26194498880828e-53,2.21038792064847e-53
"JUND",1.26307569077018e-09,1.32742105614904e-09
"KAT7",5.01699874184162e-56,1.46307240796114e-55
"KCMF1",1.15422626441585e-56,4.8704850703002e-56
"KDM2A",1.34617852417905e-26,1.53967441061136e-26
"KDM2B",4.27130900588038e-57,2.47824907945351e-56
"KDM5B",1.3138536250206e-52,2.04418008138679e-52
"KIN",1.84286142692187e-56,6.84315876530319e-56
"KLF10",7.08321913122931e-58,6.46779189523726e-57
"KLF11",9.67497908453588e-57,4.17749096905929e-56
"KLF12",1.7450659777892e-49,2.37653239517992e-49
"KLF13",3.1874924682417e-47,4.15792343046985e-47
"KLF2",3.88612666137825e-10,4.09181956595025e-10
"KLF3",3.05698281951918e-52,4.60199846073563e-52
"KLF6",2.74344985972806e-59,6.64391987768926e-58
"KLF7",8.10851043870247e-61,1.12911007858932e-58
"KLF9",5.58847830576534e-53,9.07516739449357e-53
"KMT2A",1.27030058661645e-49,1.73420937927785e-49
"KMT2B",3.43224409190579e-52,5.15299180375074e-52
"L3MBTL3",6.5191417970151e-53,1.04946878061775e-52
"LCOR",3.15156602595595e-56,1.02656273477045e-55
"LCORL",4.11765228022667e-57,2.41424454745921e-56
"LEF1",2.02648566738105e-58,3.05068247765201e-57
"LIN54",4.62463771404506e-57,2.58771016042724e-56
"MAF",1.43412056862716e-60,1.14115022389333e-58
"MAFF",1.53725569455499e-33,1.81025670585017e-33
"MAX",3.04111165103179e-52,4.59051270901005e-52
"MAZ",1.015401694013e-57,8.19317688767175e-57
"MBD1",1.54566658221975e-55,4.00435481998326e-55
"MBD2",1.22958482428992e-56,5.11103542633942e-56
"MBD4",3.72431898865936e-56,1.13357687250452e-55
"MBNL2",4.90628209459614e-57,2.66804812269957e-56
"MECP2",6.51018347688122e-56,1.82219708373007e-55
"MEF2A",1.49887247184118e-32,1.75393270339399e-32
"MEF2D",2.20815504493187e-56,7.6393935405407e-56
"MGA",8.00325181692414e-54,1.44734131883985e-53
"MLX",3.33252592856067e-56,1.05904221132902e-55
"MLXIP",6.86849542363836e-61,1.12911007858932e-58
"MTERF1",2.85748760058159e-18,3.14549524411847e-18
"MTERF2",9.13996611395105e-58,7.71357746283445e-57
"MTERF4",1.18643689785387e-58,1.94366280030767e-57
"MTF1",4.37899631802549e-57,2.48887851953081e-56
"MTF2",3.49500232010876e-55,7.88144247894971e-55
"MXD1",5.20016377290929e-57,2.78508771299084e-56
"MXD4",2.41787551962491e-57,1.64238617613546e-56
"MXI1",2.6457000305708e-53,4.45461942112836e-53
"MYBL1",1.27353652985169e-57,9.71725817982727e-57
"MYC",1.35953936383719e-56,5.52747026027236e-56
"MYNN",4.45259431481936e-56,1.33338442653461e-55
"MYSM1",6.25707104758095e-56,1.76019624924373e-55
"MZF1",3.40482718421604e-58,4.2144194257963e-57
"NACC2",1.02966316362123e-57,8.19317688767175e-57
"NCOA1",2.34035476265304e-55,5.57084445640061e-55
"NCOA2",4.37211060203815e-56,1.3163597866677e-55
"NCOA3",1.0881586536228e-52,1.70254036535927e-52
"NFAT5",1.25213418371963e-54,2.58310644567346e-54
"NFATC1",6.04055504735021e-46,7.68171041409605e-46
"NFATC2",7.57036490921035e-56,2.07143032352068e-55
"NFATC3",1.43305635984611e-52,2.21111466048278e-52
"NFE2L1",1.05571205305911e-57,8.28213540216798e-57
"NFE2L2",4.89781697043393e-24,5.51128091420545e-24
"NFIC",2.59239536668793e-50,3.60090827741939e-50
"NFIL3",7.23101179825429e-58,6.49624769617361e-57
