gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
ZBED6,0.00855562287924244,0.10534447950741369,622,0.015352145727238772,healthy,aging,aida,MONO
ZBTB1,0.019480553073186344,0.09365571367724423,622,0.03082636969822894,healthy,aging,aida,MONO
ZBTB10,0.03221412943630488,0.0858901156493631,622,0.04844735915224964,healthy,aging,aida,MONO
ZBTB11,1.3733339977594227e-06,0.19219733526269847,622,6.0384762038887155e-06,healthy,aging,aida,MONO
ZBTB14,0.011168914369983856,0.10167996127890729,622,0.019157082382771726,healthy,aging,aida,MONO
ZBTB16,0.010299655099770726,0.10280542364320439,622,0.018032222910236893,healthy,aging,aida,MONO
ZBTB17,0.0022231441890248633,0.12242652543768044,622,0.004690589937283228,healthy,aging,aida,MONO
ZBTB18,0.0002648201051492578,0.1457622042547401,622,0.0006871008133602364,healthy,aging,aida,MONO
ZBTB2,1.7083817838115317e-05,0.17147848177668054,622,5.822650340091371e-05,healthy,aging,aida,MONO
ZBTB20,0.00010574115259716231,0.1548276598079485,622,0.00030453451947982745,healthy,aging,aida,MONO
ZBTB21,0.09182795528262745,0.06765437289795054,622,0.11886045447818745,healthy,aging,aida,MONO
ZBTB24,8.126384826133441e-10,0.24307502835688288,622,5.639515252765377e-09,healthy,aging,aida,MONO
ZBTB25,0.00509575425126382,0.11217754231209735,622,0.009849511572912617,healthy,aging,aida,MONO
ZBTB33,0.008691327577246773,0.10513109984456855,622,0.015530477533750474,healthy,aging,aida,MONO
ZBTB37,0.31341600674752784,0.04048519312698695,622,0.36105523977315207,healthy,aging,aida,MONO
ZBTB38,0.001151618518413496,0.13004489025109345,622,0.002541502937188405,healthy,aging,aida,MONO
ZBTB4,1.1397075231023053e-12,0.2800231573847776,622,1.0941192125782129e-11,healthy,aging,aida,MONO
ZBTB40,0.004261208736417586,0.11445473107166478,622,0.008492158122254213,healthy,aging,aida,MONO
ZBTB43,0.7677208887516076,0.011866203927361782,622,0.8054776537721785,healthy,aging,aida,MONO
