gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
ELF1,0.11729808885324186,0.06281328617774878,623,0.12630627541550063,healthy,aging,aida,CD4T,1.06758499982218e-12,1.21930418523885e-12,11.913887935488422,Inconsistent
ELF2,1.2900557405623121e-08,0.22537462582984016,623,5.916097846076598e-08,healthy,aging,aida,CD4T,8.3865744847033e-21,2.16735395506646e-20,19.664070157356097,Increase in aging
ELF4,5.497481248483639e-09,0.23092757222349602,623,3.354481613658072e-08,healthy,aging,aida,CD4T,2.7606732930483904e-19,5.38249615419789e-19,18.269016271808468,Increase in aging
ELK1,1.2509902151492755e-06,0.1927691704489793,623,2.1867441691866647e-06,healthy,aging,aida,CD4T,1.76426200231214e-23,7.90917455458299e-23,22.101868839523295,Increase in aging
ELK3,3.776511878040411e-14,0.29695443788132053,623,1.3826229597936837e-12,healthy,aging,aida,CD4T,6.63545409979973e-33,2.30145486935159e-31,30.637997537034938,Increase in aging
ELK4,1.7236545908186954e-07,0.20754417947267242,623,4.095596841602939e-07,healthy,aging,aida,CD4T,1.41587605427517e-17,2.07808979903638e-17,16.68233568951063,Increase in aging
EOMES,9.032033265834756e-06,0.17680239863410566,623,1.2610402377510815e-05,healthy,aging,aida,CD4T,1.1274566819199701e-14,1.3387278439374e-14,13.873307703712172,Increase in aging
ERF,6.637179990177162e-06,0.17938338470559115,623,9.591889503348135e-06,healthy,aging,aida,CD4T,1.63349054216558e-21,4.9184361411100504e-21,20.308172962933806,Increase in aging
ESRRA,3.8818156249775873e-07,0.20162540370268522,623,7.919865315356749e-07,healthy,aging,aida,CD4T,3.0014629580511702e-24,1.70514145634114e-23,22.76823958666557,Increase in aging
ETS1,0.9309060330954875,-0.0034807406673096858,623,0.9351632253200095,healthy,aging,aida,CD4T,6.18453073365004e-08,6.63779438676771e-08,7.177976204484692,Decrease in aging
ETS2,1.3203426296729276e-05,0.17356978053741667,623,1.7977392416414448e-05,healthy,aging,aida,CD4T,6.01636250345751e-21,1.6182787305218402e-20,19.790946673884363,Increase in aging
ETV3,0.14641552681233558,0.0582531279328069,623,0.1566360911839759,healthy,aging,aida,CD4T,5.34554458582405e-11,5.97070149501364e-11,10.223974640811017,Inconsistent
