gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
TCF7,2.6886382443202206e-06,-1.7163125207681666,healthy,SLE,3.3473546141786746e-05,Younger than 40,perez_sle,SLE,B
TEAD2,3.4702032306582034e-07,-0.29530681919038787,healthy,SLE,6.296986922636315e-06,Younger than 40,perez_sle,SLE,B
TFDP1,0.5196550307170011,0.3145840287565811,healthy,SLE,0.6502216213494135,Younger than 40,perez_sle,SLE,B
TFDP2,1.2646901054391895e-06,0.5304683835663102,healthy,SLE,1.749487979190879e-05,Younger than 40,perez_sle,SLE,B
TFEB,0.983331192195459,-0.03617836639524086,healthy,SLE,0.9953230360027207,Younger than 40,perez_sle,SLE,B
TFEC,0.018045560155032888,-0.5459926362337093,healthy,SLE,0.04988610470806538,Younger than 40,perez_sle,SLE,B
TGIF1,0.809387281800832,-0.11038903104396347,healthy,SLE,0.880076127372957,Younger than 40,perez_sle,SLE,B
THAP11,0.2427680804498381,0.11429173059248754,healthy,SLE,0.36859300019518104,Younger than 40,perez_sle,SLE,B
THRB,0.42392903836990437,0.09796919504303547,healthy,SLE,0.5644008003018717,Younger than 40,perez_sle,SLE,B
TP53,0.016275920035280337,0.25416154105024935,healthy,SLE,0.04605345555437277,Younger than 40,perez_sle,SLE,B
TRAFD1,2.949823747791695e-06,0.3847238185693369,healthy,SLE,3.497648158095867e-05,Younger than 40,perez_sle,SLE,B
TRERF1,0.02187640813152479,-0.26929668972336396,healthy,SLE,0.0579492087739327,Younger than 40,perez_sle,SLE,B
USF2,0.0001357534354161383,0.18358430073508547,healthy,SLE,0.0009657887262462411,Younger than 40,perez_sle,SLE,B
XBP1,0.0011244850717573014,0.4454222317090917,healthy,SLE,0.005090850597592147,Younger than 40,perez_sle,SLE,B
YBX1,0.3916639587740497,0.040682276501223136,healthy,SLE,0.5329198127581332,Younger than 40,perez_sle,SLE,B
YBX3,0.0031036920073837554,0.4961077172537731,healthy,SLE,0.012266973172040558,Younger than 40,perez_sle,SLE,B
YY1,1.0,-0.08142211402131849,healthy,SLE,1.0,Younger than 40,perez_sle,SLE,B
ZBED5,4.925884886445215e-06,0.44515825041261614,healthy,SLE,4.9061813468994344e-05,Younger than 40,perez_sle,SLE,B
ZBTB1,0.25843027683808883,0.1387759796476935,healthy,SLE,0.38764541525713325,Younger than 40,perez_sle,SLE,B
