gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
RNPEP,0.4897510734269295,-0.03918271688430765,313,0.7579381488727076,healthy,aging,abf300,NK,6.52333746153856e-07,3.13771389459118e-06,5.503386659112699,Inconsistent
ARL8A,0.857134450344947,-0.010216114799682059,313,0.9497363614605455,healthy,aging,abf300,NK,0.753767487855611,0.761811372730612,0.11815254824466843,Inconsistent
PTPN7,0.3603760523301903,-0.051871728844184034,313,0.6597001616773837,healthy,aging,abf300,NK,0.490597977168041,0.507696813975895,0.29439556197855354,Inconsistent
LGR6,0.011039714244669357,0.14348068760535188,313,0.09483010059380019,healthy,aging,abf300,NK,0.0001173666139397,0.000292511256974,3.533857415914727,Increase in aging
UBE2T,0.09512763193724649,0.09450140923024786,313,0.33662448572465525,healthy,aging,abf300,NK,0.203793241046594,0.223842486116565,0.6500574793144098,Inconsistent
PPP1R12B,0.533532604904833,0.035323047808648936,313,0.7867800403486785,healthy,aging,abf300,NK,0.257098532989001,0.278000441281217,0.5559545147083791,Inconsistent
KDM5B,0.0780448724351796,-0.09975284289479185,313,0.299740744204505,healthy,aging,abf300,NK,0.0910147689579565,0.107054416677956,0.9703954105806932,Inconsistent
RABIF,0.6041981083352648,-0.029411504351929824,313,0.829040790625813,healthy,aging,abf300,NK,0.0045702694204934,0.0073105678295779,2.136048889023688,Inconsistent
TMEM183A,0.8064140870552955,0.013906278656033475,313,0.9309661747926501,healthy,aging,abf300,NK,0.0145626200342647,0.0205847843150324,1.6864536791295504,Inconsistent
BTG2,0.00033351971318123033,-0.2015146945320433,313,0.009925400863305903,healthy,aging,abf300,NK,2.45277552663106e-05,7.4478142442147e-05,4.127971163621579,Inconsistent
ATP2B4,0.4701558556179407,0.04096937235986993,313,0.7447553198648357,healthy,aging,abf300,NK,8.96852985796375e-06,3.06559642251368e-05,4.513485019413748,Inconsistent
LAX1,0.9356635249974168,-0.004580947058507853,313,0.9790201378028902,healthy,aging,abf300,NK,5.60948136635447e-12,1.02727952285495e-10,9.988311368753116,Inconsistent
